name,install_type,quantity,power
 Gliwice,photovoltaic power-stations,3,0.136 
 Gliwice,hydro-electric power-station capacity up to 1 MW,1,0.360 
 gliwicki,agricultural biogas power-stations,2,1.212 
 gliwicki,onshore wind power-station,1,1.500 
 gliwicki,co-fired technology (fossil fuel and biomass),1,0.000 
 Jastrz\uc0\u281 bie-Zdr\uc0\u243 j,sewage treatment plant biogas power-stations,1,0.380 
 Jastrz\uc0\u281 bie-Zdr\uc0\u243 j,co-fired technology (fossil fuel and biomass),1,0.000 
 Jaworzno,biomass power-stations mixed biomass-fired,1,50.000 
 Jaworzno,"hydro-electric power-station capacity up to 0,3 MW",1,0.055 
 Katowice,photovoltaic power-stations,9,0.855 
 k\uc0\u322 obucki,photovoltaic power-stations,1,0.021 
 k\uc0\u322 obucki,"hydro-electric power-station capacity up to 0,3 MW",4,0.285 
 lubliniecki,photovoltaic power-stations,2,0.022 
 miko\uc0\u322 owski,co-fired technology (fossil fuel and biomass),1,0.000 
 myszkowski,photovoltaic power-stations,3,0.107 
 pszczy\uc0\u324 ski,dump biogas power-stations,1,0.100 
 raciborski,sewage treatment plant biogas power-stations,1,0.190 
 Ruda \uc0\u346 l\uc0\u261 ska,"biomass power-stations fired forest, agricultural, garden waste",1,0.210 
 rybnicki,photovoltaic power-stations,1,0.020 
 Rybnik,sewage treatment plant biogas power-stations,1,0.190 
 Rybnik,co-fired technology (fossil fuel and biomass),2,0.000 
 Siemianowice \uc0\u346 l\uc0\u261 skie,dump biogas power-stations,1,3.420 
 Sosnowiec,sewage treatment plant biogas power-stations,1,0.740 
 Sosnowiec,photovoltaic power-stations,2,0.021 
 Tychy,sewage treatment plant biogas power-stations,1,1.090 
 Tychy,biomass power-stations mixed biomass-fired,1,40.000 
 wodzis\uc0\u322 awski,sewage treatment plant biogas power-stations,1,0.154 
 Zabrze,sewage treatment plant biogas power-stations,1,0.380 
 Zabrze,photovoltaic power-stations,2,0.166 
 zawiercia\uc0\u324 ski,sewage treatment plant biogas power-stations,1,0.500 
 zawiercia\uc0\u324 ski,"hydro-electric power-station capacity up to 0,3 MW",1,0.030 
 \uc0\u379 ory,sewage treatment plant biogas power-stations,1,0.208 
 \uc0\u380 ywiecki,sewage treatment plant biogas power-stations,1,0.303 
 \uc0\u380 ywiecki,"hydro-electric power-station capacity up to 0,3 MW",1,0.165 
 buski,photovoltaic power-stations,1,0.025 
 j\uc0\u281 drzejowski,onshore wind power-station,1,0.660 
 kazimierski,onshore wind power-station,1,0.330 
 Kielce,biomass power-stations mixed biomass-fired,1,6.710 
 kielecki,sewage treatment plant biogas power-stations,1,0.802 
 kielecki,dump biogas power-stations,1,0.360 
 kielecki,photovoltaic power-stations,5,0.198 
 kielecki,"hydro-electric power-station capacity up to 0,3 MW",7,0.252 
 konecki,onshore wind power-station,4,3.550 
 opatowski,onshore wind power-station,1,0.250 
 ostrowiecki,sewage treatment plant biogas power-stations,1,0.180 
 ostrowiecki,onshore wind power-station,2,1.200 
 pi\uc0\u324 czowski,"hydro-electric power-station capacity up to 0,3 MW",1,0.074 
 sandomierski,onshore wind power-station,3,3.360 
 skar\uc0\u380 yski,"hydro-electric power-station capacity up to 0,3 MW",1,0.030 
 starachowicki,photovoltaic power-stations,2,0.022 
 starachowicki,hydro-electric power-station capacity up to 1 MW,1,0.450 
 staszowski,biomass power-stations mixed biomass-fired,1,230.000 
 staszowski,co-fired technology (fossil fuel and biomass),1,0.000 
 w\uc0\u322 oszczowski,"biomass power-stations fired forest, agricultural, garden waste",1,1.900 
 w\uc0\u322 oszczowski,"hydro-electric power-station capacity up to 0,3 MW",1,0.015 
 bartoszycki,"hydro-electric power-station capacity up to 0,3 MW",1,0.110 
 braniewski,onshore wind power-station,1,20.000 
 braniewski,hydro-electric power-station capacity up to 1 MW,2,1.300 
 dzia\uc0\u322 dowski,onshore wind power-station,4,48.500 
 Elbl\uc0\u261 g,sewage treatment plant biogas power-stations,1,0.400 
 Elbl\uc0\u261 g,biomass power-stations mixed biomass-fired,1,25.000 
 elbl\uc0\u261 ski,onshore wind power-station,2,3.850 
 e\uc0\u322 cki,sewage treatment plant biogas power-stations,1,0.503 
 e\uc0\u322 cki,photovoltaic power-stations,1,0.050 
 e\uc0\u322 cki,"hydro-electric power-station capacity up to 0,3 MW",2,0.092 
 gi\uc0\u380 ycki,agricultural biogas power-stations,2,1.495 
 gi\uc0\u380 ycki,onshore wind power-station,1,4.500 
 go\uc0\u322 dapski,photovoltaic power-stations,1,0.611 
 go\uc0\u322 dapski,"hydro-electric power-station capacity up to 0,3 MW",6,0.865 
 i\uc0\u322 awski,sewage treatment plant biogas power-stations,1,0.443 
 i\uc0\u322 awski,photovoltaic power-stations,1,0.099 
 i\uc0\u322 awski,"hydro-electric power-station capacity up to 0,3 MW",1,0.076 
 k\uc0\u281 trzy\uc0\u324 ski,agricultural biogas power-stations,2,1.399 
 k\uc0\u281 trzy\uc0\u324 ski,onshore wind power-station,1,70.000 
 lidzbarski,photovoltaic power-stations,1,0.040 
 lidzbarski,"hydro-electric power-station capacity up to 0,3 MW",9,0.831 
 mr\uc0\u261 gowski,photovoltaic power-stations,1,0.500 
 nidzicki,photovoltaic power-stations,2,0.080 
 nowomiejski,agricultural biogas power-stations,1,2.000 
 nowomiejski,onshore wind power-station,2,1.600 
 olecki,agricultural biogas power-stations,2,2.126 
 olecki,"hydro-electric power-station capacity up to 0,3 MW",3,0.141 
 Olsztyn,sewage treatment plant biogas power-stations,1,0.702 
 Olsztyn,"hydro-electric power-station capacity up to 0,3 MW",1,0.154 
 olszty\uc0\u324 ski,sewage treatment plant biogas power-stations,1,0.800 
 olszty\uc0\u324 ski,dump biogas power-stations,1,0.802 
 olszty\uc0\u324 ski,"hydro-electric power-station capacity up to 0,3 MW",15,0.996 
 ostr\uc0\u243 dzki,sewage treatment plant biogas power-stations,1,0.690 
 ostr\uc0\u243 dzki,dump biogas power-stations,1,0.400 
 ostr\uc0\u243 dzki,photovoltaic power-stations,2,0.128 
 szczycie\uc0\u324 ski,photovoltaic power-stations,3,1.380 
 w\uc0\u281 gorzewski,photovoltaic power-stations,1,1.000 
 w\uc0\u281 gorzewski,hydro-electric power-station capacity up to 1 MW,1,0.400 
 chodzieski,onshore wind power-station,3,122.100 
 czarnkowsko-trzcianecki,onshore wind power-station,4,6.325 
 czarnkowsko-trzcianecki,hydro-electric power-station capacity up to 1 MW,1,0.360 
 gnie\uc0\u378 nie\uc0\u324 ski,agricultural biogas power-stations,1,0.999 
 gnie\uc0\u378 nie\uc0\u324 ski,"hydro-electric power-station capacity up to 0,3 MW",1,0.015 
 gosty\uc0\u324 ski,photovoltaic power-stations,1,0.040 
 grodziski,onshore wind power-station,3,5.610 
 jaroci\uc0\u324 ski,onshore wind power-station,6,11.800 
 kaliski,agricultural biogas power-stations,1,1.600 
 kaliski,photovoltaic power-stations,1,0.009 
 kaliski,"hydro-electric power-station capacity up to 0,3 MW",1,0.075 
 Kalisz,"hydro-electric power-station capacity up to 0,3 MW",1,0.065 
 kolski,onshore wind power-station,32,40.750 
 Konin,agricultural biogas power-stations,1,2.134 
 Konin,biomass power-stations mixed biomass-fired,1,55.000 
 Konin,co-fired technology (fossil fuel and biomass),1,0.000 
 koni\uc0\u324 ski,dump biogas power-stations,1,1.600 
 koni\uc0\u324 ski,"hydro-electric power-station capacity up to 0,3 MW",2,0.097 
 ko\uc0\u347 cia\uc0\u324 ski,onshore wind power-station,3,11.000 
 krotoszy\uc0\u324 ski,agricultural biogas power-stations,1,1.200 
 leszczy\uc0\u324 ski,dump biogas power-stations,1,0.966 
 leszczy\uc0\u324 ski,onshore wind power-station,4,10.745 
 Leszno,photovoltaic power-stations,1,0.007 
 mi\uc0\u281 dzychodzki,dump biogas power-stations,1,0.400 
 mi\uc0\u281 dzychodzki,photovoltaic power-stations,1,0.900 
 nowotomyski,photovoltaic power-stations,1,0.280 
 nowotomyski,"hydro-electric power-station capacity up to 0,3 MW",1,0.020 
 obornicki,onshore wind power-station,4,6.050 
 obornicki,hydro-electric power-station capacity up to 1 MW,1,0.500 
 ostrowski,sewage treatment plant biogas power-stations,1,0.384 
 ostrowski,biomass power-stations mixed biomass-fired,1,1.500 
 ostrowski,onshore wind power-station,16,21.150 
 ostrzeszowski,agricultural biogas power-stations,1,0.990 
 ostrzeszowski,onshore wind power-station,2,3.400 
 pilski,agricultural biogas power-stations,1,0.526 
 pilski,onshore wind power-station,1,0.900 
 pilski,hydro-electric power-station capacity up to 1 MW,1,0.320 
 pleszewski,sewage treatment plant biogas power-stations,2,0.856 
 pleszewski,"hydro-electric power-station capacity up to 0,3 MW",1,0.300 
 Pozna\uc0\u324 ,sewage treatment plant biogas power-stations,2,2.121 
 Pozna\uc0\u324 ,co-fired technology (fossil fuel and biomass),1,0.000 
 pozna\uc0\u324 ski,sewage treatment plant biogas power-stations,1,2.793 
 pozna\uc0\u324 ski,dump biogas power-stations,3,1.724 
 pozna\uc0\u324 ski,onshore wind power-station,1,1.000 
 rawicki,onshore wind power-station,1,5.000 
 s\uc0\u322 upecki,onshore wind power-station,12,25.000 
 szamotulski,onshore wind power-station,1,1.000 
 \uc0\u347 redzki,photovoltaic power-stations,1,0.040 
 \uc0\u347 remski,sewage treatment plant biogas power-stations,1,0.123 
 turecki,agricultural biogas power-stations,1,1.897 
 turecki,onshore wind power-station,8,5.695 
 w\uc0\u261 growiecki,photovoltaic power-stations,1,0.040 
 wolszty\uc0\u324 ski,onshore wind power-station,2,2.490 
 wrzesi\uc0\u324 ski,photovoltaic power-stations,2,0.050 
 z\uc0\u322 otowski,onshore wind power-station,4,16.350 
 z\uc0\u322 otowski,hydro-electric power-station capacity up to 1 MW,1,0.500 
 bia\uc0\u322 ogardzki,onshore wind power-station,4,95.018 
 bia\uc0\u322 ogardzki,hydro-electric power-station capacity up to 1 MW,1,0.598 
 choszcze\uc0\u324 ski,onshore wind power-station,4,33.500 
 drawski,agricultural biogas power-stations,3,3.061 
 drawski,onshore wind power-station,1,10.123 
 drawski,hydro-electric power-station capacity up to 1 MW,1,0.910 
 goleniowski,onshore wind power-station,2,0.825 
 gryficki,agricultural biogas power-stations,1,0.999 
 gryficki,onshore wind power-station,7,49.975 
 gryficki,hydro-electric power-station capacity up to 1 MW,2,1.260 
 gryfi\uc0\u324 ski,agricultural biogas power-stations,1,0.330 
 gryfi\uc0\u324 ski,onshore wind power-station,2,56.000 
 gryfi\uc0\u324 ski,co-fired technology (fossil fuel and biomass),1,0.000 
 kamie\uc0\u324 ski,onshore wind power-station,3,90.600 
 ko\uc0\u322 obrzeski,dump biogas power-stations,1,1.063 
 ko\uc0\u322 obrzeski,onshore wind power-station,9,236.082 
 Koszalin,onshore wind power-station,1,0.004 
 koszali\uc0\u324 ski,agricultural biogas power-stations,2,1.250 
 koszali\uc0\u324 ski,photovoltaic power-stations,3,0.277 
 koszali\uc0\u324 ski,"hydro-electric power-station capacity up to 0,3 MW",4,0.262 
 \uc0\u322 obeski,agricultural biogas power-stations,2,2.599 
 \uc0\u322 obeski,"hydro-electric power-station capacity up to 0,3 MW",11,0.807 
 my\uc0\u347 liborski,dump biogas power-stations,1,0.181 
 my\uc0\u347 liborski,"hydro-electric power-station capacity up to 0,3 MW",6,0.775 
 policki,dump biogas power-stations,1,0.360 
 pyrzycki,onshore wind power-station,1,5.000 
 s\uc0\u322 awie\uc0\u324 ski,onshore wind power-station,42,510.388 
 stargardzki,dump biogas power-stations,1,0.200 
 stargardzki,onshore wind power-station,4,66.650 
 stargardzki,co-fired technology (fossil fuel and biomass),1,0.000 
 Szczecin,sewage treatment plant biogas power-stations,2,0.938 
 Szczecin,biomass power-stations mixed biomass-fired,1,68.500 
 Szczecin,"hydro-electric power-station capacity up to 0,3 MW",2,0.207 
 szczecinecki,sewage treatment plant biogas power-stations,1,0.160 
 szczecinecki,dump biogas power-stations,2,0.500 
 szczecinecki,onshore wind power-station,2,3.650 
 \uc0\u347 widwi\uc0\u324 ski,agricultural biogas power-stations,1,0.800 
 \uc0\u346 winouj\uc0\u347 cie,sewage treatment plant biogas power-stations,1,0.380 
 wa\uc0\u322 ecki,agricultural biogas power-stations,1,0.999 
 wa\uc0\u322 ecki,onshore wind power-station,5,7.210 
